model_id,scenario,role,channel,policy,target_fpr,sample_count,positive_count,negative_count,predicted_positive_count,tp,fp,tn,fn,reference_threshold,decision_threshold,precision,recall,f1,fpr,miss_rate,pr_auc,reference_prevalence,metric_valid,unavailable_reason
m3_linear_residual_mlp,state_group,validation,kMt,nominal_threshold,,1791,918,873,918,918,0,873,0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,0.5125628140703518,True,
m3_linear_residual_mlp,state_group,validation,any,nominal_threshold,,1791,1359,432,1346,1346,0,432,13,0.5,0.5,1.0,0.9904341427520236,0.9951940850277264,0.0,0.009565857247976454,1.0,0.7587939698492462,True,
m3_linear_residual_mlp,state_group,validation,kMc,nominal_threshold,,1791,765,1026,747,747,0,1026,18,0.6,0.6,1.0,0.9764705882352941,0.988095238095238,0.0,0.023529411764705882,0.9999999999999999,0.4271356783919598,True,
m3_linear_residual_mlp,state_group,validation,kMt,nominal_threshold,,1791,729,1062,712,712,0,1062,17,0.6,0.6,1.0,0.9766803840877915,0.9882026370575989,0.0,0.023319615912208505,1.0,0.40703517587939697,True,
m3_linear_residual_mlp,state_group,validation,any,nominal_threshold,,1791,1152,639,1132,1132,0,639,20,0.6,0.6,1.0,0.9826388888888888,0.9912434325744308,0.0,0.017361111111111112,1.0,0.6432160804020101,True,
m3_linear_residual_mlp,state_group,validation,kMc,nominal_threshold,,1791,567,1224,546,546,0,1224,21,0.7,0.7,1.0,0.9629629629629629,0.9811320754716981,0.0,0.037037037037037035,1.0,0.3165829145728643,True,
m3_linear_residual_mlp,state_group,validation,kMt,nominal_threshold,,1791,567,1224,566,566,0,1224,1,0.7,0.7,1.0,0.9982363315696648,0.9991173874669019,0.0,0.001763668430335097,1.0,0.3165829145728643,True,
m3_linear_residual_mlp,state_group,validation,any,nominal_threshold,,1791,909,882,887,887,0,882,22,0.7,0.7,1.0,0.9757975797579758,0.9877505567928729,0.0,0.0242024202420242,1.0,0.507537688442211,True,
m3_linear_residual_mlp,state_group,validation,kMc,nominal_threshold,,1791,387,1404,357,357,0,1404,30,0.8,0.8,1.0,0.9224806201550387,0.9596774193548387,0.0,0.07751937984496124,0.9999933402594637,0.21608040201005024,True,
m3_linear_residual_mlp,state_group,validation,kMt,nominal_threshold,,1791,432,1359,375,375,0,1359,57,0.8,0.8,1.0,0.8680555555555556,0.929368029739777,0.0,0.13194444444444445,1.0,0.24120603015075376,True,
m3_linear_residual_mlp,state_group,validation,any,nominal_threshold,,1791,702,1089,628,628,0,1089,74,0.8,0.8,1.0,0.8945868945868946,0.9443609022556391,0.0,0.10541310541310542,0.9999383588446591,0.39195979899497485,True,
m3_linear_residual_mlp,state_group,validation,kMc,nominal_threshold,,1791,207,1584,184,184,0,1584,23,0.9,0.9,1.0,0.8888888888888888,0.9411764705882353,0.0,0.1111111111111111,1.0,0.11557788944723618,True,
m3_linear_residual_mlp,state_group,validation,kMt,nominal_threshold,,1791,144,1647,144,143,1,1646,1,0.9,0.9,0.9930555555555556,0.9930555555555556,0.9930555555555556,0.0006071645415907711,0.006944444444444444,0.9999038819710513,0.08040201005025126,True,
m3_linear_residual_mlp,state_group,validation,any,nominal_threshold,,1791,324,1467,304,303,1,1466,21,0.9,0.9,0.9967105263157895,0.9351851851851852,0.964968152866242,0.0006816632583503749,0.06481481481481481,0.9996382498125078,0.18090452261306533,True,
